IL1A
IL1B
IL1RN
IL18
IL33
IL36A
IL36RN
IL2
IL4
IL13
IL7
TSLP
IL9
IL15
IL21
IL3
IL5
CSF2
IL6
IL11
IL27
IL27
IL31
LIF
OSM
CTF1
CTF2P
IL12A
IL23A
IL10
IL19
IL20
IL22
IL24
IL17A
IL17B
IL17C
IL17D
IL25
IL17F
IFNA1
IFNA13
IFNB1
IFNE
IFNK
IFNG
IFNL2
LTB
LTB
TNF
TNFSF4
CD40LG
FASLG
CD70
TNFSF8
TNFSF9
TNFSF10
TNFSF11
TNFSF12
TNFSF13
TNFSF13B
TNFSF14
TNFSF15
TNFSF18
C3
C5
FLT3LG
IL34
CSF1
CSF3
KITLG
EGF
VEGFA
FGF2
HGF
IGF1
TGFB1
GDNF
PSPN
PRL
LEP
ADIPOQ
RETN
NOG
DCN
THPO
GZMB
GZMA
GZMK
CCL1
CCL3
CCL4
CCL4L2
CCL3L1
CXCL8
CCL5
