ENSG00000115008
ENSG00000125538
ENSG00000136689
ENSG00000150782
ENSG00000137033
ENSG00000136694
ENSG00000136695
ENSG00000109471
ENSG00000113520
ENSG00000169194
ENSG00000104432
ENSG00000145777
ENSG00000145839
ENSG00000164136
ENSG00000138684
ENSG00000164399
ENSG00000113525
ENSG00000164400
ENSG00000136244
ENSG00000095752
ENSG00000197272
ENSG00000197272
ENSG00000204671
ENSG00000128342
ENSG00000099985
ENSG00000150281
ENSG00000230447
ENSG00000168811
ENSG00000110944
ENSG00000136634
ENSG00000142224
ENSG00000162891
ENSG00000127318
ENSG00000162892
ENSG00000112115
ENSG00000127743
ENSG00000124391
ENSG00000172458
ENSG00000166090
ENSG00000112116
ENSG00000197919
ENSG00000233816
ENSG00000171855
ENSG00000184995
ENSG00000147896
ENSG00000111537
ENSG00000183709
ENSG00000227507
ENSG00000227507
ENSG00000232810
ENSG00000117586
ENSG00000102245
ENSG00000117560
ENSG00000125726
ENSG00000106952
ENSG00000125657
ENSG00000121858
ENSG00000120659
ENSG00000239697
ENSG00000161955
ENSG00000102524
ENSG00000125735
ENSG00000181634
ENSG00000120337
ENSG00000125730
ENSG00000106804
ENSG00000090554
ENSG00000157368
ENSG00000184371
ENSG00000108342
ENSG00000049130
ENSG00000138798
ENSG00000112715
ENSG00000138685
ENSG00000019991
ENSG00000017427
ENSG00000105329
ENSG00000168621
ENSG00000125650
ENSG00000172179
ENSG00000174697
ENSG00000181092
ENSG00000104918
ENSG00000183691
ENSG00000011465
ENSG00000090534
ENSG00000100453
ENSG00000145649
ENSG00000113088
ENSG00000108702
ENSG00000277632
ENSG00000275302
ENSG00000276070
ENSG00000276085
ENSG00000169429
ENSG00000271503
